"star_programs","program","specialty"
"Baylor College of Medicine_Anesthesiology","Baylor College of Medicine","Anesthesiology"
"Beth Israel Deaconess Medical Center/Harvard Medical School_Anesthesiology","Beth Israel Deaconess Medical Center/Harvard Medical School","Anesthesiology"
"Duke University Hospital_Anesthesiology","Duke University Hospital","Anesthesiology"
"Massachusetts General Hospital/Harvard Medical School_Anesthesiology","Massachusetts General Hospital/Harvard Medical School","Anesthesiology"
"Texas A&M College of Medicine-Scott and White_Anesthesiology","Texas A&M College of Medicine-Scott and White","Anesthesiology"
"University of Alabama Medical Center_Anesthesiology","University of Alabama Medical Center","Anesthesiology"
"University of Michigan_Anesthesiology","University of Michigan","Anesthesiology"
"University of Texas Health Science Center at Houston_Anesthesiology","University of Texas Health Science Center at Houston","Anesthesiology"
"University of Texas Health Science Center School of Medicine at San Antonio_Anesthesiology","University of Texas Health Science Center School of Medicine at San Antonio","Anesthesiology"
"University of Texas Medical Branch Hospitals_Anesthesiology","University of Texas Medical Branch Hospitals","Anesthesiology"
"University of Texas Southwestern Medical School_Anesthesiology","University of Texas Southwestern Medical School","Anesthesiology"
"Vanderbilt University Medical Center_Anesthesiology","Vanderbilt University Medical Center","Anesthesiology"
"Brigham and Women's Hospital/Harvard Medical School_Anesthesiology","Brigham and Women's Hospital/Harvard Medical School","Anesthesiology"
"Emory University School of Medicine_Anesthesiology","Emory University School of Medicine","Anesthesiology"
"Icahn School of Medicine at Mount Sinai_Anesthesiology","Icahn School of Medicine at Mount Sinai","Anesthesiology"
"Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)_Anesthesiology","Icahn School of Medicine at Mount Sinai (St Luke's-Roosevelt Hospital Center)","Anesthesiology"
"Loyola University_Anesthesiology","Loyola University","Anesthesiology"
"McGaw Medical Center of Northwestern University_Anesthesiology","McGaw Medical Center of Northwestern University","Anesthesiology"
"New York Presbyterian Hospital (Columbia Campus)_Anesthesiology","New York Presbyterian Hospital (Columbia Campus)","Anesthesiology"
"New York Presbyterian Hospital (Cornell Campus)_Anesthesiology","New York Presbyterian Hospital (Cornell Campus)","Anesthesiology"
"New York University School of Medicine_Anesthesiology","New York University School of Medicine","Anesthesiology"
"Rush University Medical Center_Anesthesiology","Rush University Medical Center","Anesthesiology"
"Sidney Kimmel Medical College at Thomas Jefferson University/TJUH_Anesthesiology","Sidney Kimmel Medical College at Thomas Jefferson University/TJUH","Anesthesiology"
"Stanford University_Anesthesiology","Stanford University","Anesthesiology"
"University of California (San Diego)_Anesthesiology","University of California (San Diego)","Anesthesiology"
"University of California (San Francisco)_Anesthesiology","University of California (San Francisco)","Anesthesiology"
"University of Chicago_Anesthesiology","University of Chicago","Anesthesiology"
"University of Illinois College of Medicine at Chicago_Anesthesiology","University of Illinois College of Medicine at Chicago","Anesthesiology"
"University of Pennsylvania_Anesthesiology","University of Pennsylvania","Anesthesiology"
"University of Washington_Anesthesiology","University of Washington","Anesthesiology"
"UPMC Medical Education_Anesthesiology","UPMC Medical Education","Anesthesiology"
"Virginia Mason Medical Center_Anesthesiology","Virginia Mason Medical Center","Anesthesiology"
"Mayo Clinic College of Medicine and Science (Rochester)_Anesthesiology","Mayo Clinic College of Medicine and Science (Rochester)","Anesthesiology"
"Medical University of South Carolina_Anesthesiology","Medical University of South Carolina","Anesthesiology"
"Ohio State University Hospital_Anesthesiology","Ohio State University Hospital","Anesthesiology"
"Oregon Health   Science University_Anesthesiology","Oregon Health   Science University","Anesthesiology"
"UCLA Medical Center_Anesthesiology","UCLA Medical Center","Anesthesiology"
"University of California (Irvine)_Anesthesiology","University of California (Irvine)","Anesthesiology"
"University of Colorado_Anesthesiology","University of Colorado","Anesthesiology"
"University of Florida (Gainesville)_Anesthesiology","University of Florida (Gainesville)","Anesthesiology"
"University of Kentucky College of Medicine_Anesthesiology","University of Kentucky College of Medicine","Anesthesiology"
"University of North Carolina Hospitals_Anesthesiology","University of North Carolina Hospitals","Anesthesiology"
"University of Southern California/LAC+USC Medical Center_Anesthesiology","University of Southern California/LAC+USC Medical Center","Anesthesiology"
"University of Utah_Anesthesiology","University of Utah","Anesthesiology"
"University of Virginia_Anesthesiology","University of Virginia","Anesthesiology"
"Wake Forest University School of Medicine_Anesthesiology","Wake Forest University School of Medicine","Anesthesiology"
"Boston University Medical Center_Anesthesiology","Boston University Medical Center","Anesthesiology"
"Cedars-Sinai Medical Center_Anesthesiology","Cedars-Sinai Medical Center","Anesthesiology"
"Cleveland Clinic Foundation_Anesthesiology","Cleveland Clinic Foundation","Anesthesiology"
"George Washington University_Anesthesiology","George Washington University","Anesthesiology"
"Georgetown University Hospital_Anesthesiology","Georgetown University Hospital","Anesthesiology"
"Jackson Memorial Hospital/Jackson Health System_Anesthesiology","Jackson Memorial Hospital/Jackson Health System","Anesthesiology"
"Maimonides Medical Center_Anesthesiology","Maimonides Medical Center","Anesthesiology"
"Maine Medical Center_Anesthesiology","Maine Medical Center","Anesthesiology"
"Medical College of Wisconsin Affiliated Hospitals_Anesthesiology","Medical College of Wisconsin Affiliated Hospitals","Anesthesiology"
"Montefiore Medical Center/Albert Einstein College of Medicine_Anesthesiology","Montefiore Medical Center/Albert Einstein College of Medicine","Anesthesiology"
"SUNY Health Science Center at Brooklyn_Anesthesiology","SUNY Health Science Center at Brooklyn","Anesthesiology"
"Tufts Medical Center_Anesthesiology","Tufts Medical Center","Anesthesiology"
"UMMS-Baystate_Anesthesiology","UMMS-Baystate","Anesthesiology"
"University of Massachusetts_Anesthesiology","University of Massachusetts","Anesthesiology"
"University of Vermont Medical Center_Anesthesiology","University of Vermont Medical Center","Anesthesiology"
"University of Wisconsin_Anesthesiology","University of Wisconsin","Anesthesiology"
"Yale-New Haven Medical Center_Anesthesiology","Yale-New Haven Medical Center","Anesthesiology"
"Albany Medical Center_Anesthesiology","Albany Medical Center","Anesthesiology"
"Case Western Reserve University/University Hospitals Cleveland Medical Center_Anesthesiology","Case Western Reserve University/University Hospitals Cleveland Medical Center","Anesthesiology"
"Drexel University College of Medicine/Hahnemann University Hospital_Anesthesiology","Drexel University College of Medicine/Hahnemann University Hospital","Anesthesiology"
"Penn State Milton S Hershey Medical Center_Anesthesiology","Penn State Milton S Hershey Medical Center","Anesthesiology"
"Stony Brook Medicine/University Hospital_Anesthesiology","Stony Brook Medicine/University Hospital","Anesthesiology"
"University of Arizona College of Medicine_Anesthesiology","University of Arizona College of Medicine","Anesthesiology"
"University of Arkansas for Medical Sciences_Anesthesiology","University of Arkansas for Medical Sciences","Anesthesiology"
"University of Florida (Jacksonville )_Anesthesiology","University of Florida (Jacksonville )","Anesthesiology"
"University of Iowa Hospitals and Clinics_Anesthesiology","University of Iowa Hospitals and Clinics","Anesthesiology"
"University of Kansas School of Medicine_Anesthesiology","University of Kansas School of Medicine","Anesthesiology"
"University of Nebraska Medical Center College of Medicine_Anesthesiology","University of Nebraska Medical Center College of Medicine","Anesthesiology"
"University of Oklahoma Health Sciences Center_Anesthesiology","University of Oklahoma Health Sciences Center","Anesthesiology"
"Loma Linda University Health Education Consortium_Anesthesiology","Loma Linda University Health Education Consortium","Anesthesiology"
"Los Angeles County-Harbor-UCLA Medical Center_Anesthesiology","Los Angeles County-Harbor-UCLA Medical Center","Anesthesiology"
"Texas Tech University (Lubbock)_Anesthesiology","Texas Tech University (Lubbock)","Anesthesiology"
"University of Louisville_Anesthesiology","University of Louisville","Anesthesiology"
"University of New Mexico_Anesthesiology","University of New Mexico","Anesthesiology"
"University of Tennessee Medical Center at Knoxville_Anesthesiology","University of Tennessee Medical Center at Knoxville","Anesthesiology"
"Advocate Health Care (Advocate Illinois Masonic Medical Center)_Anesthesiology","Advocate Health Care (Advocate Illinois Masonic Medical Center)","Anesthesiology"
"Hofstra Northwell School of Medicine_Anesthesiology","Hofstra Northwell School of Medicine","Anesthesiology"
"Johns Hopkins University_Anesthesiology","Johns Hopkins University","Anesthesiology"
"Tulane University_Anesthesiology","Tulane University","Anesthesiology"
"University of California Davis Health_Anesthesiology","University of California Davis Health","Anesthesiology"
"Washington University/B-JH/SLCH Consortium_Anesthesiology","Washington University/B-JH/SLCH Consortium","Anesthesiology"
"University of Cincinnati Medical Center/College of Medicine_Anesthesiology","University of Cincinnati Medical Center/College of Medicine","Anesthesiology"
"Case Western Reserve University (MetroHealth)_Anesthesiology","Case Western Reserve University (MetroHealth)","Anesthesiology"
"University of Kansas (Wichita)_Anesthesiology","University of Kansas (Wichita)","Anesthesiology"
"Virginia Commonwealth University Health System_Anesthesiology","Virginia Commonwealth University Health System","Anesthesiology"
"Louisiana State University_Anesthesiology","Louisiana State University","Anesthesiology"
"Mayo Clinic College of Medicine and Science (Arizona)_Anesthesiology","Mayo Clinic College of Medicine and Science (Arizona)","Anesthesiology"
"Mayo Clinic College of Medicine and Science (Jacksonville)_Anesthesiology","Mayo Clinic College of Medicine and Science (Jacksonville)","Anesthesiology"
"San Antonio Uniformed Services Health Education Consortium_Anesthesiology","San Antonio Uniformed Services Health Education Consortium","Anesthesiology"
"University of Missouri-Columbia_Anesthesiology","University of Missouri-Columbia","Anesthesiology"
"University of Rochester_Anesthesiology","University of Rochester","Anesthesiology"
"Indiana University School of Medicine_Anesthesiology","Indiana University School of Medicine","Anesthesiology"
"John H Stroger Hospital of Cook County_Anesthesiology","John H Stroger Hospital of Cook County","Anesthesiology"
"Louisiana State University (Shreveport)_Anesthesiology","Louisiana State University (Shreveport)","Anesthesiology"
"Medical College of Georgia_Anesthesiology","Medical College of Georgia","Anesthesiology"
"Mount Sinai Medical Center of Florida_Anesthesiology","Mount Sinai Medical Center of Florida","Anesthesiology"
"St Louis University School of Medicine_Anesthesiology","St Louis University School of Medicine","Anesthesiology"
"Riverside University Health System/University of California Riverside_Anesthesiology","Riverside University Health System/University of California Riverside","Anesthesiology"
"University of Missouri at Kansas City_Anesthesiology","University of Missouri at Kansas City","Anesthesiology"
"University of Mississippi Medical Center_Anesthesiology","University of Mississippi Medical Center","Anesthesiology"
"Cooper Medical School of Rowan University/Cooper University Hospital_Anesthesiology","Cooper Medical School of Rowan University/Cooper University Hospital","Anesthesiology"
"Ochsner Clinic Foundation_Anesthesiology","Ochsner Clinic Foundation","Anesthesiology"
"SUNY Upstate Medical University_Anesthesiology","SUNY Upstate Medical University","Anesthesiology"
"Cleveland Clinic (Florida)_Anesthesiology","Cleveland Clinic (Florida)","Anesthesiology"
"Geisinger Health System_Anesthesiology","Geisinger Health System","Anesthesiology"
"Kendall Regional Medical Center_Anesthesiology","Kendall Regional Medical Center","Anesthesiology"
"Rutgers New Jersey Medical School_Anesthesiology","Rutgers New Jersey Medical School","Anesthesiology"
"University at Buffalo_Anesthesiology","University at Buffalo","Anesthesiology"
"University of Connecticut_Anesthesiology","University of Connecticut","Anesthesiology"
"University of Maryland_Anesthesiology","University of Maryland","Anesthesiology"
"University of Minnesota_Anesthesiology","University of Minnesota","Anesthesiology"
"West Virginia University_Anesthesiology","West Virginia University","Anesthesiology"
"Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock_Anesthesiology","Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock","Anesthesiology"
"William Beaumont Hospital_Anesthesiology","William Beaumont Hospital","Anesthesiology"
"Allegheny Health Network Medical Education Consortium (AGH/WPH)_Anesthesiology","Allegheny Health Network Medical Education Consortium (AGH/WPH)","Anesthesiology"
"Detroit Medical Center/Wayne State University_Anesthesiology","Detroit Medical Center/Wayne State University","Anesthesiology"
"Henry Ford Hospital/Wayne State University_Anesthesiology","Henry Ford Hospital/Wayne State University","Anesthesiology"
"New York Medical College at St Joseph's Regional Medical Center_Anesthesiology","New York Medical College at St Joseph's Regional Medical Center","Anesthesiology"
"New York Medical College at Westchester Medical Center_Anesthesiology","New York Medical College at Westchester Medical Center","Anesthesiology"
"St Barnabas Medical Center (New Jersey)_Anesthesiology","St Barnabas Medical Center (New Jersey)","Anesthesiology"
"University of Toledo_Anesthesiology","University of Toledo","Anesthesiology"
"Rutgers Robert Wood Johnson Medical School_Anesthesiology","Rutgers Robert Wood Johnson Medical School","Anesthesiology"
"St Elizabeth's Medical Center (Boston)_Anesthesiology","St Elizabeth's Medical Center (Boston)","Anesthesiology"
"Temple University Hospital_Anesthesiology","Temple University Hospital","Anesthesiology"
"Baylor College of Medicine_Child Neurology","Baylor College of Medicine","Child Neurology"
"Beth Israel Deaconess Medical Center/Children's Hospital/Harvard Medical School_Child Neurology","Beth Israel Deaconess Medical Center/Children's Hospital/Harvard Medical School","Child Neurology"
"Boston University Medical Center_Child Neurology","Boston University Medical Center","Child Neurology"
"Case Western Reserve University/University Hospitals Cleveland Medical Center_Child Neurology","Case Western Reserve University/University Hospitals Cleveland Medical Center","Child Neurology"
"Children's Hospital of Los Angeles_Child Neurology","Children's Hospital of Los Angeles","Child Neurology"
"Children's Hospital of Philadelphia_Child Neurology","Children's Hospital of Philadelphia","Child Neurology"
"Children's Mercy Hospital/University of Kansas Medical Center_Child Neurology","Children's Mercy Hospital/University of Kansas Medical Center","Child Neurology"
"Cincinnati Children's Hospital Medical Center_Child Neurology","Cincinnati Children's Hospital Medical Center","Child Neurology"
"Cleveland Clinic Foundation_Child Neurology","Cleveland Clinic Foundation","Child Neurology"
"Duke University Hospital_Child Neurology","Duke University Hospital","Child Neurology"
"Emory University School of Medicine_Child Neurology","Emory University School of Medicine","Child Neurology"
"George Washington University/Children's National Medical Center_Child Neurology","George Washington University/Children's National Medical Center","Child Neurology"
"Indiana University School of Medicine_Child Neurology","Indiana University School of Medicine","Child Neurology"
"Johns Hopkins University_Child Neurology","Johns Hopkins University","Child Neurology"
"Loma Linda University Health Education Consortium_Child Neurology","Loma Linda University Health Education Consortium","Child Neurology"
"Los Angeles County-Harbor-UCLA Medical Center_Child Neurology","Los Angeles County-Harbor-UCLA Medical Center","Child Neurology"
"Louisiana State University_Child Neurology","Louisiana State University","Child Neurology"
"Massachusetts General Hospital/Harvard Medical School_Child Neurology","Massachusetts General Hospital/Harvard Medical School","Child Neurology"
"Mayo Clinic College of Medicine and Science (Rochester)_Child Neurology","Mayo Clinic College of Medicine and Science (Rochester)","Child Neurology"
"McGaw Medical Center of Northwestern University_Child Neurology","McGaw Medical Center of Northwestern University","Child Neurology"
"Medical University of South Carolina_Child Neurology","Medical University of South Carolina","Child Neurology"
"Montefiore Medical Center/Albert Einstein College of Medicine_Child Neurology","Montefiore Medical Center/Albert Einstein College of Medicine","Child Neurology"
"Nationwide Children's Hospital/Ohio State University_Child Neurology","Nationwide Children's Hospital/Ohio State University","Child Neurology"
"New York Presbyterian Hospital (Columbia Campus)_Child Neurology","New York Presbyterian Hospital (Columbia Campus)","Child Neurology"
"Phoenix Children's Hospital_Child Neurology","Phoenix Children's Hospital","Child Neurology"
"St Christopher's Hospital for Children (Philadelphia)_Child Neurology","St Christopher's Hospital for Children (Philadelphia)","Child Neurology"
"St Louis University School of Medicine_Child Neurology","St Louis University School of Medicine","Child Neurology"
"Stanford University_Child Neurology","Stanford University","Child Neurology"
"Tufts Medical Center_Child Neurology","Tufts Medical Center","Child Neurology"
"UCLA Medical Center_Child Neurology","UCLA Medical Center","Child Neurology"
"University of Alabama Medical Center_Child Neurology","University of Alabama Medical Center","Child Neurology"
"University of Arkansas for Medical Sciences_Child Neurology","University of Arkansas for Medical Sciences","Child Neurology"
"University of California (Irvine)_Child Neurology","University of California (Irvine)","Child Neurology"
"University of California (San Francisco)_Child Neurology","University of California (San Francisco)","Child Neurology"
"University of Chicago_Child Neurology","University of Chicago","Child Neurology"
"University of Colorado_Child Neurology","University of Colorado","Child Neurology"
"University of Florida (Jacksonville )_Child Neurology","University of Florida (Jacksonville )","Child Neurology"
"University of Iowa Hospitals and Clinics_Child Neurology","University of Iowa Hospitals and Clinics","Child Neurology"
"University of Kentucky College of Medicine_Child Neurology","University of Kentucky College of Medicine","Child Neurology"
"University of Louisville_Child Neurology","University of Louisville","Child Neurology"
"University of Michigan_Child Neurology","University of Michigan","Child Neurology"
"University of Mississippi Medical Center_Child Neurology","University of Mississippi Medical Center","Child Neurology"
"University of North Carolina Hospitals_Child Neurology","University of North Carolina Hospitals","Child Neurology"
"University of Tennessee_Child Neurology","University of Tennessee","Child Neurology"
"University of Texas Health Science Center at Houston_Child Neurology","University of Texas Health Science Center at Houston","Child Neurology"
"University of Texas Southwestern Medical School_Child Neurology","University of Texas Southwestern Medical School","Child Neurology"
"University of Utah_Child Neurology","University of Utah","Child Neurology"
"University of Virginia_Child Neurology","University of Virginia","Child Neurology"
"University of Wisconsin_Child Neurology","University of Wisconsin","Child Neurology"
"UPMC Medical Education_Child Neurology","UPMC Medical Education","Child Neurology"
"Vanderbilt University Medical Center_Child Neurology","Vanderbilt University Medical Center","Child Neurology"
"Wake Forest University School of Medicine_Child Neurology","Wake Forest University School of Medicine","Child Neurology"
"Washington University/B-JH/SLCH Consortium_Child Neurology","Washington University/B-JH/SLCH Consortium","Child Neurology"
"Medical College of Georgia_Child Neurology","Medical College of Georgia","Child Neurology"
"Oregon Health & Science University_Child Neurology","Oregon Health & Science University","Child Neurology"
"University of New Mexico_Child Neurology","University of New Mexico","Child Neurology"
"University of Texas at Austin Dell Medical School_Child Neurology","University of Texas at Austin Dell Medical School","Child Neurology"
"University of Washington_Child Neurology","University of Washington","Child Neurology"
"Virginia Commonwealth University Health System_Child Neurology","Virginia Commonwealth University Health System","Child Neurology"
"Hofstra Northwell School of Medicine_Child Neurology","Hofstra Northwell School of Medicine","Child Neurology"
"New York Presbyterian Hospital (Cornell Campus)_Child Neurology","New York Presbyterian Hospital (Cornell Campus)","Child Neurology"
"New York University School of Medicine_Child Neurology","New York University School of Medicine","Child Neurology"
"Rutgers New Jersey Medical School_Child Neurology","Rutgers New Jersey Medical School","Child Neurology"
"SUNY Health Science Center at Brooklyn_Child Neurology","SUNY Health Science Center at Brooklyn","Child Neurology"
"University of California (San Diego)_Child Neurology","University of California (San Diego)","Child Neurology"
"University of Rochester_Child Neurology","University of Rochester","Child Neurology"
"Baylor College of Medicine_Dermatology","Baylor College of Medicine","Dermatology"
"Baylor University Medical Center_Dermatology","Baylor University Medical Center","Dermatology"
"Boston University Medical Center_Dermatology","Boston University Medical Center","Dermatology"
"Brown University_Dermatology","Brown University","Dermatology"
"Carilion Clinic-Virginia Tech Carilion School of Medicine_Dermatology","Carilion Clinic-Virginia Tech Carilion School of Medicine","Dermatology"
"Case Western Reserve University (MetroHealth)_Dermatology","Case Western Reserve University (MetroHealth)","Dermatology"
"Case Western Reserve University/University Hospitals Cleveland Medical Center_Dermatology","Case Western Reserve University/University Hospitals Cleveland Medical Center","Dermatology"
"Cleveland Clinic Foundation_Dermatology","Cleveland Clinic Foundation","Dermatology"
"Cooper Medical School of Rowan University/Cooper University Hospital_Dermatology","Cooper Medical School of Rowan University/Cooper University Hospital","Dermatology"
"Drexel University College of Medicine/Hahnemann University Hospital_Dermatology","Drexel University College of Medicine/Hahnemann University Hospital","Dermatology"
"Duke University Hospital_Dermatology","Duke University Hospital","Dermatology"
"Eastern Virginia Medical School_Dermatology","Eastern Virginia Medical School","Dermatology"
"Emory University School of Medicine_Dermatology","Emory University School of Medicine","Dermatology"
"Florida State University College of Medicine (Tallahassee)_Dermatology","Florida State University College of Medicine (Tallahassee)","Dermatology"
"Geisinger Health System_Dermatology","Geisinger Health System","Dermatology"
"George Washington University_Dermatology","George Washington University","Dermatology"
"Henry Ford Hospital/Wayne State University_Dermatology","Henry Ford Hospital/Wayne State University","Dermatology"
"Hofstra Northwell School of Medicine_Dermatology","Hofstra Northwell School of Medicine","Dermatology"
"Howard University_Dermatology","Howard University","Dermatology"
"Icahn School of Medicine at Mount Sinai_Dermatology","Icahn School of Medicine at Mount Sinai","Dermatology"
"Indiana University School of Medicine_Dermatology","Indiana University School of Medicine","Dermatology"
"Jackson Memorial Hospital/Jackson Health System_Dermatology","Jackson Memorial Hospital/Jackson Health System","Dermatology"
"John H Stroger Hospital of Cook County_Dermatology","John H Stroger Hospital of Cook County","Dermatology"
"Johns Hopkins University_Dermatology","Johns Hopkins University","Dermatology"
"Kaiser Permanente Southern California (Los Angeles)_Dermatology","Kaiser Permanente Southern California (Los Angeles)","Dermatology"
"Lehigh Valley Health Network/University of South Florida College of Medicine_Dermatology","Lehigh Valley Health Network/University of South Florida College of Medicine","Dermatology"
"Loma Linda University Health Education Consortium_Dermatology","Loma Linda University Health Education Consortium","Dermatology"
"Los Angeles County-Harbor-UCLA Medical Center_Dermatology","Los Angeles County-Harbor-UCLA Medical Center","Dermatology"
"Louisiana State University_Dermatology","Louisiana State University","Dermatology"
"Loyola University_Dermatology","Loyola University","Dermatology"
"Marshfield Clinic_Dermatology","Marshfield Clinic","Dermatology"
"Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock_Dermatology","Mary Hitchcock Memorial Hospital/Dartmouth-Hitchcock","Dermatology"
"Massachusetts General Hospital/Harvard Medical School_Dermatology","Massachusetts General Hospital/Harvard Medical School","Dermatology"
"Mayo Clinic College of Medicine and Science (Arizona)_Dermatology","Mayo Clinic College of Medicine and Science (Arizona)","Dermatology"
"Mayo Clinic College of Medicine and Science (Jacksonville)_Dermatology","Mayo Clinic College of Medicine and Science (Jacksonville)","Dermatology"
"Mayo Clinic College of Medicine and Science (Rochester)_Dermatology","Mayo Clinic College of Medicine and Science (Rochester)","Dermatology"
"McGaw Medical Center of Northwestern University_Dermatology","McGaw Medical Center of Northwestern University","Dermatology"
"Medical College of Georgia_Dermatology","Medical College of Georgia","Dermatology"
"Medical College of Wisconsin Affiliated Hospitals_Dermatology","Medical College of Wisconsin Affiliated Hospitals","Dermatology"
"Medical University of South Carolina_Dermatology","Medical University of South Carolina","Dermatology"
"Montefiore Medical Center/Albert Einstein College of Medicine_Dermatology","Montefiore Medical Center/Albert Einstein College of Medicine","Dermatology"
"National Capital Consortium_Dermatology","National Capital Consortium","Dermatology"
"Naval Medical Center (San Diego)_Dermatology","Naval Medical Center (San Diego)","Dermatology"
"New York Medical College (Metropolitan)_Dermatology","New York Medical College (Metropolitan)","Dermatology"
"New York Presbyterian Hospital (Columbia Campus)_Dermatology","New York Presbyterian Hospital (Columbia Campus)","Dermatology"
"New York Presbyterian Hospital (Cornell Campus)_Dermatology","New York Presbyterian Hospital (Cornell Campus)","Dermatology"
"New York University School of Medicine_Dermatology","New York University School of Medicine","Dermatology"
"Ohio State University Hospital_Dermatology","Ohio State University Hospital","Dermatology"
"Oregon Health & Science University_Dermatology","Oregon Health & Science University","Dermatology"
"Penn State Milton S Hershey Medical Center_Dermatology","Penn State Milton S Hershey Medical Center","Dermatology"
"Roger Williams Medical Center_Dermatology","Roger Williams Medical Center","Dermatology"
"Rush University Medical Center_Dermatology","Rush University Medical Center","Dermatology"
"Rutgers New Jersey Medical School_Dermatology","Rutgers New Jersey Medical School","Dermatology"
"Rutgers Robert Wood Johnson Medical School_Dermatology","Rutgers Robert Wood Johnson Medical School","Dermatology"
"San Antonio Uniformed Services Health Education Consortium_Dermatology","San Antonio Uniformed Services Health Education Consortium","Dermatology"
"Sidney Kimmel Medical College at Thomas Jefferson University/TJUH_Dermatology","Sidney Kimmel Medical College at Thomas Jefferson University/TJUH","Dermatology"
"Southern Illinois University_Dermatology","Southern Illinois University","Dermatology"
"St Joseph Mercy Livingston (Michigan)_Dermatology","St Joseph Mercy Livingston (Michigan)","Dermatology"
"St Louis University School of Medicine_Dermatology","St Louis University School of Medicine","Dermatology"
"Stanford University_Dermatology","Stanford University","Dermatology"
"Stony Brook Medicine/University Hospital_Dermatology","Stony Brook Medicine/University Hospital","Dermatology"
"SUNY Health Science Center at Brooklyn_Dermatology","SUNY Health Science Center at Brooklyn","Dermatology"
"Temple University Hospital_Dermatology","Temple University Hospital","Dermatology"
"Texas A&M College of Medicine-Scott and White_Dermatology","Texas A&M College of Medicine-Scott and White","Dermatology"
"Texas Tech University (Lubbock)_Dermatology","Texas Tech University (Lubbock)","Dermatology"
"Tufts Medical Center_Dermatology","Tufts Medical Center","Dermatology"
"Tulane University_Dermatology","Tulane University","Dermatology"
"UCLA Medical Center_Dermatology","UCLA Medical Center","Dermatology"
"University at Buffalo_Dermatology","University at Buffalo","Dermatology"
"University of Alabama Medical Center_Dermatology","University of Alabama Medical Center","Dermatology"
"University of Arizona College of Medicine_Dermatology","University of Arizona College of Medicine","Dermatology"
"University of Arkansas for Medical Sciences_Dermatology","University of Arkansas for Medical Sciences","Dermatology"
"University of California (Irvine)_Dermatology","University of California (Irvine)","Dermatology"
"University of California (San Diego)_Dermatology","University of California (San Diego)","Dermatology"
"University of California (San Francisco)_Dermatology","University of California (San Francisco)","Dermatology"
"University of California Davis Health_Dermatology","University of California Davis Health","Dermatology"
"University of Chicago_Dermatology","University of Chicago","Dermatology"
"University of Cincinnati Medical Center/College of Medicine_Dermatology","University of Cincinnati Medical Center/College of Medicine","Dermatology"
"University of Colorado_Dermatology","University of Colorado","Dermatology"
"University of Connecticut_Dermatology","University of Connecticut","Dermatology"
"University of Florida (Gainesville)_Dermatology","University of Florida (Gainesville)","Dermatology"
"University of Illinois College of Medicine at Chicago_Dermatology","University of Illinois College of Medicine at Chicago","Dermatology"
"University of Iowa Hospitals and Clinics_Dermatology","University of Iowa Hospitals and Clinics","Dermatology"
"University of Kansas School of Medicine_Dermatology","University of Kansas School of Medicine","Dermatology"
"University of Louisville_Dermatology","University of Louisville","Dermatology"
"University of Maryland_Dermatology","University of Maryland","Dermatology"
"University of Massachusetts_Dermatology","University of Massachusetts","Dermatology"
"University of Michigan_Dermatology","University of Michigan","Dermatology"
"University of Minnesota_Dermatology","University of Minnesota","Dermatology"
"University of Mississippi Medical Center_Dermatology","University of Mississippi Medical Center","Dermatology"
"University of Missouri-Columbia_Dermatology","University of Missouri-Columbia","Dermatology"
"University of North Carolina Hospitals_Dermatology","University of North Carolina Hospitals","Dermatology"
"University of Oklahoma Health Sciences Center_Dermatology","University of Oklahoma Health Sciences Center","Dermatology"
"University of Pennsylvania_Dermatology","University of Pennsylvania","Dermatology"
"University of Puerto Rico_Dermatology","University of Puerto Rico","Dermatology"
"University of Rochester_Dermatology","University of Rochester","Dermatology"
"University of South Florida Morsani_Dermatology","University of South Florida Morsani","Dermatology"
"University of Southern California/LAC+USC Medical Center_Dermatology","University of Southern California/LAC+USC Medical Center","Dermatology"
"University of Tennessee_Dermatology","University of Tennessee","Dermatology"
"University of Texas at Austin Dell Medical School_Dermatology","University of Texas at Austin Dell Medical School","Dermatology"
"University of Texas Health Science Center at Houston_Dermatology","University of Texas Health Science Center at Houston","Dermatology"
"University of Texas Health Science Center School of Medicine at San Antonio_Dermatology","University of Texas Health Science Center School of Medicine at San Antonio","Dermatology"
"University of Texas Medical Branch Hospitals_Dermatology","University of Texas Medical Branch Hospitals","Dermatology"
"University of Texas Southwestern Medical School_Dermatology","University of Texas Southwestern Medical School","Dermatology"
"University of Utah_Dermatology","University of Utah","Dermatology"
"University of Vermont Medical Center_Dermatology","University of Vermont Medical Center","Dermatology"
"University of Virginia_Dermatology","University of Virginia","Dermatology"
"University of Washington_Dermatology","University of Washington","Dermatology"
"University of Wisconsin_Dermatology","University of Wisconsin","Dermatology"
"UPMC Medical Education_Dermatology","UPMC Medical Education","Dermatology"
"Vanderbilt University Medical Center_Dermatology","Vanderbilt University Medical Center","Dermatology"
"Vidant Medical Center/East Carolina University_Dermatology","Vidant Medical Center/East Carolina University","Dermatology"
"Virginia Commonwealth University Health System_Dermatology","Virginia Commonwealth University Health System","Dermatology"
"Wake Forest University School of Medicine_Dermatology","Wake Forest University School of Medicine","Dermatology"
"Washington Hospital Center_Dermatology","Washington Hospital Center","Dermatology"
